image_idx,solver,precond,ordering,n_unknown,iterations,elapsed_ms,res0,res1,res2
1,cg,none,nat,4466427,770,28141.9,4.98785,2.93538,1.70528
2,cg,none,nat,3057207,1215,30208.4,4.98926,4.16929,3.53839
3,cg,none,nat,4420731,610,19691.3,4.97785,4.37145,3.85185
4,cg,none,nat,4147343,151,5053.3,4.6338,3.37615,4.93901
1,cg,ilu0,nat,4466427,884,50390.3,4.97492,2.73339,1.61466
2,cg,ilu0,nat,3057207,1659,63692.6,4.99877,4.11739,3.37937
3,cg,ilu0,nat,4420731,643,35616.8,4.75674,4.88655,4.9869
4,cg,ilu0,nat,4147343,178,9804.5,4.23947,3.39165,4.98671
1,cg,ilu0,rcm,4466427,720,44432.8,4.97803,2.76449,1.76529
2,cg,ilu0,rcm,3057207,1443,62770,4.97166,4.21913,3.44386
3,cg,ilu0,rcm,4420731,599,37143.3,4.92517,4.78005,4.67775
4,cg,ilu0,rcm,4147343,158,10595,3.98028,3.22756,4.94093
1,cg,ilu1,nat,4466427,824,66490.1,4.98986,2.73616,1.6171
2,cg,ilu1,nat,3057207,1578,82532.4,4.99954,4.10158,3.55854
3,cg,ilu1,nat,4420731,503,40415.6,4.03109,4.36448,4.96749
4,cg,ilu1,nat,4147343,192,14802.7,3.7866,3.21859,4.88256
1,cg,jacobi,nat,4466427,458,14783.2,4.96525,2.8791,1.78148
2,cg,jacobi,nat,3057207,772,16766.3,4.96768,4.10069,3.4236
3,cg,jacobi,nat,4420731,341,10874.2,4.96668,4.39599,3.97871
4,cg,jacobi,nat,4147343,94,3129.14,4.79171,3.35692,4.91131
1,cg,jacobi,rcm,4466427,458,15527.6,4.96525,2.8791,1.78148
2,cg,jacobi,rcm,3057207,772,19099.4,4.96768,4.10069,3.4236
3,cg,jacobi,rcm,4420731,341,11394.3,4.96668,4.39599,3.97871
4,cg,jacobi,rcm,4147343,94,3522.38,4.79171,3.35692,4.91131
