image_idx,solver,precond,ordering,stop,n_unknown,iterations,elapsed_ms,avg_ms,mem_meas_kb,mem_theo_B,res0,res1,res2
1,cg,none,nat,abs,4466427,770,21753.1,26.7899,686792,323600396,4.98785,2.93538,1.70528
2,cg,none,nat,abs,3057207,1215,24373.6,19.4396,621304,227773436,4.98926,4.16929,3.53839
3,cg,none,nat,abs,4420731,610,17201.9,26.7371,649912,320493068,4.97785,4.37145,3.85185
4,cg,none,nat,abs,4147343,151,4561.29,25.1088,650164,301902684,4.6338,3.37615,4.93901
1,cg,jacobi,nat,abs,4466427,458,12148.9,24.0853,686612,323600396,4.96525,2.8791,1.78148
2,cg,jacobi,nat,abs,3057207,772,14280.4,17.5282,621276,227773436,4.96768,4.10069,3.4236
3,cg,jacobi,nat,abs,4420731,341,9073.75,24.0232,650324,320493068,4.96668,4.39599,3.97871
4,cg,jacobi,nat,abs,4147343,94,2945.61,23.1824,650408,301902684,4.79171,3.35692,4.91131
1,cg,jacobi,rcm,abs,4466427,458,14941.1,29.7834,686488,323600396,4.96525,2.8791,1.78148
2,cg,jacobi,rcm,abs,3057207,772,17316.3,21.3066,658884,227773436,4.96768,4.10069,3.4236
3,cg,jacobi,rcm,abs,4420731,341,10920.3,28.9461,700132,320493068,4.96668,4.39599,3.97871
4,cg,jacobi,rcm,abs,4147343,94,3568.35,28.1004,692444,301902684,4.79171,3.35692,4.91131
1,cg,ilu0,nat,abs,4466427,884,46421.8,51.1915,686668,323600396,4.97492,2.73339,1.61466
2,cg,ilu0,nat,abs,3057207,1659,58829.9,34.9672,621760,227773436,4.99877,4.11739,3.37937
3,cg,ilu0,nat,abs,4420731,643,33226,50.2413,650804,320493068,4.75674,4.88655,4.9869
4,cg,ilu0,nat,abs,4147343,178,9268.34,47.5329,650708,301902684,4.23947,3.39165,4.98671
1,cg,ilu0,rcm,abs,4466427,720,46904.3,63.255,686432,323600396,4.97803,2.76449,1.76529
2,cg,ilu0,rcm,abs,3057207,1443,62981.1,43.013,658988,227773436,4.97166,4.21913,3.44386
3,cg,ilu0,rcm,abs,4420731,599,39217.2,63.6065,700236,320493068,4.92517,4.78005,4.67775
4,cg,ilu0,rcm,abs,4147343,158,11003.9,63.3527,692376,301902684,3.98028,3.22756,4.94093
1,cg,ic0,nat,abs,4466427,884,46289.4,51.0415,686580,323600396,4.97492,2.73339,1.61466
2,cg,ic0,nat,abs,3057207,1659,58494.3,34.7852,621400,227773436,4.99877,4.11739,3.37937
3,cg,ic0,nat,abs,4420731,643,32822.1,49.6082,650576,320493068,4.75674,4.88655,4.9869
4,cg,ic0,nat,abs,4147343,178,9195.86,47.1281,650408,301902684,4.23947,3.39165,4.98671
1,cg,ic0,rcm,abs,4466427,720,46065.5,62.0912,686876,323600396,4.97803,2.76449,1.76529
2,cg,ic0,rcm,abs,3057207,1443,63357.5,43.2618,659176,227773436,4.97166,4.21913,3.44386
3,cg,ic0,rcm,abs,4420731,599,37942.6,61.4933,700368,320493068,4.92517,4.78005,4.67775
4,cg,ic0,rcm,abs,4147343,158,10900.9,62.6736,692340,301902684,3.98028,3.22756,4.94093
